,City,Country,Latitude,Longitude,Cloudiness,Humidity,Temperature,Wind Speed,Date
0,Qaanaaq,GL,77.48,-69.36,12,100,256.904,3.47,1540176995
1,Georgetown,GY,6.8,-58.16,40,88,299.15,2.1,1540173600
2,Katsuura,JP,33.93,134.5,75,64,293.15,1.0,1540173600
3,Pisco,PE,-13.71,-76.2,0,82,291.15,6.7,1540173600
4,Ordzhonikidze,UA,44.96,35.36,88,100,287.379,3.12,1540176996
5,Hermanus,ZA,-34.42,19.24,0,53,286.329,2.12,1540177113
6,Ushuaia,AR,-54.81,-68.31,20,60,277.15,11.3,1540173600
7,Springfield,US,37.22,-93.29,1,57,282.15,5.7,1540176720
8,Tooele,US,40.53,-112.3,75,54,289.15,2.1,1540174500
9,Jamestown,AU,-33.21,138.6,12,24,301.504,7.72,1540176998
10,Mataura,NZ,-46.19,168.86,0,77,295.254,1.07,1540176998
11,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,20,42,281.15,2.0,1540173600
12,Nioro,GM,13.79,-15.05,0,83,297.329,1.37,1540176998
13,Airai,TL,-8.93,125.41,8,54,302.429,0.57,1540176998
14,Karratha,AU,-20.74,116.85,0,9,312.129,1.82,1540176925
15,Storforshei,NO,66.4,14.52,88,100,273.079,2.12,1540176999
16,Busselton,AU,-33.64,115.35,68,100,289.504,6.47,1540176999
17,Rikitea,PF,-23.12,-134.97,100,100,296.254,3.72,1540176999
18,Ercis,TR,39.03,43.36,75,66,283.15,2.6,1540173000
19,Vaini,IN,15.34,74.49,12,64,298.379,1.92,1540177000
20,Punta Arenas,CL,-53.16,-70.91,20,69,277.15,2.6,1540173600
21,Bluff,AU,-23.58,149.07,0,43,305.504,3.02,1540177000
22,Bubaque,GW,11.28,-15.83,40,94,300.15,2.1,1540173600
23,Ossora,RU,59.24,163.07,88,100,273.979,2.52,1540177000
24,Geraldton,CA,49.72,-86.95,75,92,271.15,1.0,1540173600
25,Kaohsiung,TW,22.62,120.31,75,69,301.15,3.1,1540173600
26,Sakaraha,MG,-22.91,44.53,0,85,284.254,1.97,1540177001
27,New Norfolk,AU,-42.78,147.06,40,45,293.15,5.1,1540175400
28,Aitape,PG,-3.15,142.36,20,94,301.554,2.77,1540177001
29,Athabasca,CA,54.72,-113.29,0,71,274.054,2.27,1540177002
30,Puerto Ayora,EC,-0.74,-90.35,0,100,294.254,6.32,1540176919
31,Kalabo,ZM,-15.0,22.67,32,70,291.329,4.67,1540177002
32,Horsham,AU,-36.71,142.2,0,65,296.229,7.77,1540177002
33,Bom Jesus,BR,-5.99,-35.58,40,83,298.15,1.5,1540177200
34,Naze,NG,5.43,7.07,32,95,296.579,1.77,1540177003
35,Vardo,US,39.62,-77.74,40,65,280.15,2.17,1540176300
36,Souillac,FR,45.6,-0.6,0,76,284.15,5.1,1540175400
37,Albany,US,42.65,-73.75,75,59,276.15,2.6,1540173240
38,Frutal,BR,-20.02,-48.93,0,58,297.929,5.87,1540177004
39,Salinopolis,BR,-0.61,-47.36,0,96,300.429,6.37,1540177004
40,Jitotol,MX,17.07,-92.86,5,73,298.15,4.1,1540172700
41,Tlacotepec,MX,18.96,-99.93,90,87,285.15,2.1,1540172940
42,Dubbo,AU,-32.25,148.6,12,39,299.15,2.1,1540175400
43,Clyde River,CA,70.47,-68.59,90,92,259.15,8.2,1540175580
44,Saint-Philippe,CA,45.36,-73.48,1,59,274.15,4.1,1540174500
45,Tuktoyaktuk,CA,69.44,-133.03,90,92,267.15,6.7,1540173600
46,Ciudad Bolivar,VE,8.12,-63.55,36,98,295.629,3.82,1540176941
47,Quthing,LS,-30.4,27.7,8,95,271.179,1.72,1540177005
48,Torbay,CA,47.66,-52.73,90,100,287.15,12.9,1540173600
49,Nyrob,RU,60.74,56.73,80,84,266.254,4.12,1540177006
50,Yellowknife,CA,62.45,-114.38,75,79,271.15,1.5,1540174740
51,Grindavik,IS,63.84,-22.43,75,100,278.15,10.8,1540173600
52,Avarua,CK,-21.21,-159.78,75,57,297.15,4.6,1540173600
53,Udachnyy,RU,66.42,112.4,92,82,270.329,1.07,1540177006
54,Gilbues,BR,-9.83,-45.34,44,97,293.304,1.22,1540177006
55,Carnarvon,ZA,-30.97,22.13,56,20,287.654,4.52,1540177007
56,Sembabule,UG,-0.08,31.46,44,92,288.229,1.17,1540177007
57,Shimanovsk,RU,52.0,127.67,76,55,281.029,2.82,1540177007
58,Havelock,US,34.88,-76.9,1,58,285.15,5.7,1540176840
59,Tiksi,RU,71.64,128.87,24,83,257.129,1.92,1540177008
60,Asosa,ET,10.07,34.53,8,85,288.754,1.77,1540177008
61,Cape Town,ZA,-33.93,18.42,0,62,287.15,1.0,1540173600
62,Monrovia,LR,6.33,-10.8,75,94,298.15,0.82,1540173600
63,Ambalavao,MG,-21.83,46.94,0,86,279.729,2.17,1540177008
64,Khatanga,RU,71.98,102.47,36,88,259.079,3.42,1540177008
65,Dhidhdhoo,MV,6.88,73.1,64,100,301.779,4.57,1540177008
66,Sept-Iles,CA,50.2,-66.38,20,68,270.15,4.1,1540173600
67,Mount Gambier,AU,-37.83,140.78,64,59,295.229,4.47,1540176853
68,Kodiak,US,39.95,-94.76,1,62,286.15,3.1,1540173180
69,Skibbereen,IE,51.55,-9.27,20,75,279.15,5.1,1540175400
70,Luderitz,NA,-26.65,15.16,64,93,286.15,1.0,1540173600
71,Omboue,GA,-1.57,9.26,92,100,297.579,2.27,1540177010
72,Poum,MK,41.28,20.71,92,100,280.029,0.77,1540177010
73,Teknaf,BD,20.86,92.31,0,79,300.754,1.42,1540177010
74,Vrangel,RU,42.73,133.08,32,100,287.629,3.22,1540177010
75,Gizo,IL,31.8,34.94,0,68,295.15,2.1,1540175400
76,Gaogou,CN,31.12,117.94,92,100,290.679,2.87,1540177011
77,Narsaq,GL,60.91,-46.05,92,86,270.15,1.5,1540173000
78,Sri Aman,MY,1.24,111.46,75,79,302.15,1.0,1540173600
79,Saint George,GR,39.45,22.34,90,87,288.15,2.1,1540173000
80,Kidal,ML,18.44,1.41,0,33,293.904,1.22,1540177012
81,Kaeo,NZ,-35.1,173.78,48,49,294.629,3.07,1540177012
82,Tura,IN,25.52,90.21,0,80,299.054,1.52,1540177012
83,Atuona,PF,-9.8,-139.03,44,100,299.179,5.37,1540177012
84,Kapaa,US,22.08,-159.32,40,65,302.15,6.2,1540173360
85,Raudeberg,NO,61.99,5.14,80,75,280.15,11.3,1540174800
86,Ribeira Grande,PT,38.52,-28.7,64,99,293.679,8.77,1540177013
87,Fortuna,ES,38.18,-1.13,20,88,291.15,2.6,1540175400
88,Margate,AU,-43.03,147.26,40,45,293.15,5.1,1540175400
89,Bredasdorp,ZA,-34.53,20.04,0,72,288.15,7.7,1540173600
90,Sao Felix do Xingu,BR,-6.64,-51.99,20,97,296.329,0.97,1540177014
91,Claveria,PH,8.61,124.89,64,98,298.804,1.57,1540177014
92,Ponta do Sol,BR,-20.63,-46.0,56,76,290.504,3.82,1540177014
93,Rome,IT,41.89,12.48,0,81,287.15,3.6,1540174800
94,Rosarito,CO,4.91,-75.23,40,88,293.15,2.6,1540173600
95,Evensk,RU,61.92,159.24,76,100,273.279,2.92,1540177015
96,Butaritari,KI,3.07,172.79,44,100,302.479,3.22,1540177015
97,Nikolskoye,RU,59.7,30.79,90,75,281.15,4.0,1540173600
98,Staryy Nadym,RU,65.61,72.68,76,91,266.004,3.37,1540177015
99,Dudinka,RU,69.41,86.18,92,91,270.479,4.32,1540177016
100,Lodja,CD,-3.52,23.6,36,99,294.329,1.07,1540177016
101,Arraial do Cabo,BR,-22.97,-42.02,44,99,292.829,2.67,1540177016
102,Martapura,ID,-3.41,114.85,8,85,302.929,1.82,1540177016
103,Victoria,BN,5.28,115.24,75,83,303.15,2.1,1540175400
104,Ilulissat,GL,69.22,-51.1,24,60,260.15,11.3,1540173000
105,Ketchikan,US,55.34,-131.65,1,87,282.15,2.6,1540173360
106,Beroroha,MG,-21.68,45.17,0,85,287.804,2.22,1540177018
107,Vila Velha,BR,-3.71,-38.6,20,74,300.15,3.6,1540177200
108,Hobyo,SO,5.35,48.53,88,89,298.504,2.37,1540177018
109,Kutum,SD,14.2,24.66,0,29,286.729,3.32,1540177018
110,Campbeltown,GB,55.43,-5.61,48,71,283.15,9.8,1540173000
111,Fengxian,CN,33.91,106.52,92,78,281.929,1.32,1540177019
112,Luwuk,ID,-0.95,122.79,24,73,303.279,3.02,1540177019
113,Qaqortoq,GL,60.72,-46.03,92,86,270.15,1.5,1540173000
114,Matara,PE,-13.74,-72.9,92,97,280.404,0.87,1540177019
115,Hobart,AU,-42.88,147.33,40,45,293.15,5.1,1540175400
116,Codrington,AU,-28.95,153.24,68,87,294.904,1.82,1540177020
117,Pomabamba,PE,-8.82,-77.46,92,99,279.729,0.77,1540177020
118,Salalah,OM,17.01,54.1,0,83,296.15,2.1,1540173000
119,Ahipara,NZ,-35.17,173.16,44,64,293.004,2.07,1540177020
120,Meulaboh,ID,4.14,96.13,8,100,301.029,1.42,1540177020
121,Sibolga,ID,1.74,98.78,20,91,297.779,0.47,1540177021
122,Broome,GB,52.47,1.45,0,76,284.15,4.1,1540174800
123,Chuy,UY,-33.69,-53.46,12,89,287.504,5.72,1540177021
124,Mwene-Ditu,CD,-7.01,23.45,56,97,291.554,1.97,1540177021
125,Tommot,RU,58.97,126.27,80,83,270.904,1.52,1540177022
126,Arivonimamo,MG,-19.01,47.18,20,87,285.15,3.1,1540175400
127,Jennings,AU,-28.93,151.93,48,92,294.229,0.77,1540176846
128,Leningradskiy,RU,69.38,178.42,12,100,269.904,3.87,1540177022
129,Pemberton,AU,-34.44,116.03,88,58,289.179,6.22,1540177022
130,Dikson,RU,73.51,80.55,24,100,269.504,4.07,1540177023
131,Hasaki,JP,35.73,140.83,20,56,293.15,3.6,1540173600
132,Anton Lizardo,MX,19.05,-95.98,75,83,298.15,1.5,1540172580
133,Pevek,RU,69.7,170.27,80,100,267.754,2.77,1540177023
134,Viedma,AR,-40.81,-62.99,0,70,280.904,1.77,1540177023
135,Baker City,US,44.77,-117.83,1,53,287.15,3.1,1540173360
136,Kolyshley,RU,52.7,44.54,0,88,273.004,2.97,1540177024
137,Olga,US,34.11,-118.17,1,56,296.15,1.5,1540173480
138,Kurtamysh,RU,54.91,64.43,0,89,269.154,3.17,1540177024
139,Wewak,PG,-3.55,143.63,64,91,299.754,0.72,1540177024
140,High Rock,BS,26.63,-78.28,80,100,299.229,9.27,1540177025
141,Saint-Pierre,FR,48.95,4.24,0,87,279.15,3.6,1540175400
142,Flin Flon,CA,54.77,-101.88,80,78,278.829,5.72,1540177025
143,Usinsk,RU,66.0,57.56,88,97,268.054,6.57,1540177025
144,Seoul,KR,37.57,126.98,0,37,292.15,1.0,1540173600
145,Cayenne,GF,4.94,-52.33,0,83,299.15,2.1,1540175400
146,Tabou,CI,4.42,-7.36,44,100,299.804,3.67,1540177026
147,Yarada,IN,17.65,83.27,0,100,301.904,1.87,1540177026
148,Sao Joao da Barra,BR,-21.64,-41.05,0,100,294.929,3.67,1540177026
149,Mocuba,MZ,-16.84,36.99,92,69,293.529,3.22,1540177027
150,Mokshan,RU,53.44,44.61,0,81,270.404,1.42,1540177027
151,Nara,JP,34.68,135.8,75,43,295.15,0.5,1540173600
152,Muros,ES,42.77,-9.06,0,100,286.15,2.1,1540175400
153,Ayan,TR,40.67,33.6,56,98,278.379,1.07,1540177028
154,Comodoro Rivadavia,AR,-45.87,-67.48,75,70,281.15,8.2,1540173960
155,Komsomolskiy,RU,67.55,63.78,92,94,266.029,4.57,1540177028
156,Nanchang,CN,28.68,115.89,48,94,292.754,2.22,1540177028
157,Bontang,ID,0.12,117.47,36,92,302.304,2.42,1540177029
158,Lima,PE,-12.06,-77.04,80,68,288.329,1.02,1540177029
159,Hilo,US,19.71,-155.08,40,82,301.15,1.5,1540175700
160,Okhotsk,RU,59.36,143.24,20,100,271.229,3.12,1540177029
161,Upernavik,GL,72.79,-56.15,56,100,267.229,6.47,1540177029
162,Yulara,AU,-25.24,130.99,0,5,309.15,2.6,1540173600
163,Serrinha,BR,-11.66,-39.0,80,95,295.154,4.37,1540177030
164,Talnakh,RU,69.49,88.39,92,87,269.279,1.87,1540177030
165,Ancud,CL,-41.87,-73.83,64,91,280.279,1.32,1540177030
166,Lebu,ET,8.96,38.73,20,82,286.15,4.1,1540173600
167,Laguna,MX,27.52,-110.01,5,48,302.15,2.6,1540172460
168,Cidreira,BR,-30.17,-50.22,0,77,291.079,6.67,1540177031
169,Vostok,RU,46.45,135.83,0,48,285.529,1.27,1540177031
170,Tasiilaq,GL,65.61,-37.64,68,41,268.15,2.6,1540173000
171,Santa Isabel,CO,4.71,-75.1,76,96,291.029,1.52,1540177032
172,Severo-Kurilsk,RU,50.68,156.12,80,100,278.754,5.42,1540177032
173,Isangel,VU,-19.55,169.27,48,100,297.179,6.62,1540177033
174,Bobcaygeon,CA,44.54,-78.55,90,80,275.15,1.5,1540173600
175,Tucurui,BR,-3.77,-49.67,24,100,296.154,0.97,1540177033
176,East London,ZA,-33.02,27.91,0,100,290.779,8.12,1540177033
177,Pa Sang,TH,18.53,98.94,40,88,298.15,2.6,1540175400
178,Kasamwa,TZ,-2.84,32.42,8,78,288.754,3.77,1540177034
179,Yumen,CN,40.29,97.04,0,47,279.629,2.07,1540177034
180,Provideniya,RU,64.42,-173.23,75,80,277.15,9.0,1540173600
181,Lively,US,33.6,-99.18,0,81,284.129,2.97,1540177034
182,Atar,MR,20.52,-13.05,80,49,298.904,4.67,1540177034
183,Aswan,EG,24.09,32.9,0,39,299.15,2.1,1540173600
184,Broken Hill,AU,-31.97,141.45,0,33,300.929,5.67,1540177035
185,Sechura,PE,-5.56,-80.82,44,87,292.729,5.27,1540177035
186,Hithadhoo,MV,-0.6,73.08,56,100,299.554,1.07,1540177035
187,Egvekinot,RU,66.32,-179.17,56,71,266.629,1.42,1540177035
188,Mulchen,CL,-37.72,-72.23,0,90,275.904,1.97,1540177036
189,Ngunguru,NZ,-35.62,174.5,0,93,290.379,3.37,1540177036
190,Shenjiamen,CN,29.96,122.3,92,92,294.404,5.47,1540177036
191,Izhma,RU,65.01,53.91,92,93,272.304,3.42,1540177036
192,Norden,DE,53.59,7.21,75,93,286.15,7.2,1540175100
193,Cordoba,CO,5.59,-73.79,76,86,286.004,0.62,1540177037
194,Lavrentiya,RU,65.58,-170.99,8,100,276.829,12.87,1540177037
195,Ust-Nera,RU,64.57,143.24,44,87,255.229,1.17,1540177037
196,Robe,ET,7.12,40.01,0,91,280.154,1.12,1540177037
197,Grand Gaube,MU,-20.01,57.66,40,78,297.15,3.1,1540173600
198,Sehithwa,BW,-20.47,22.7,20,55,291.754,9.87,1540177038
199,Erseke,AL,40.34,20.68,44,100,280.929,0.82,1540177038
200,Shimoda,JP,34.7,138.93,20,60,293.15,7.2,1540173600
201,Saskylakh,RU,71.97,114.09,64,84,262.579,3.82,1540177039
202,Bud,NO,62.91,6.91,56,81,280.15,11.3,1540174800
203,Kaitangata,NZ,-46.28,169.85,0,77,290.804,2.67,1540177039
204,Cherskiy,RU,68.75,161.3,88,86,261.404,1.87,1540177039
205,Adrar,DZ,27.87,-0.29,0,46,294.15,2.6,1540173600
206,Denpasar,ID,-8.65,115.22,44,80,300.329,1.22,1540176953
207,Bay Roberts,CA,47.58,-53.28,90,100,287.15,12.9,1540173600
208,Pangnirtung,CA,66.15,-65.72,32,100,261.029,3.02,1540177040
209,Barrow,AR,-38.31,-60.23,0,59,287.629,4.72,1540177004
210,Namibe,AO,-15.19,12.15,48,100,294.879,2.12,1540177040
211,Venado Tuerto,AR,-33.75,-61.97,80,70,292.079,2.57,1540177040
212,Roros,NO,62.57,11.38,0,69,275.15,4.1,1540174800
213,Tvoroyri,FO,61.56,-6.81,64,75,278.15,13.9,1540174800
214,Norman Wells,CA,65.28,-126.83,75,92,270.15,1.5,1540173600
215,Castro,CL,-42.48,-73.76,68,92,280.779,1.52,1540176885
216,Bayangol,MN,48.91,106.09,0,58,275.579,2.42,1540177042
217,Port Elizabeth,US,39.31,-74.98,1,69,281.15,3.1,1540173360
218,Okitipupa,NG,6.5,4.78,44,96,296.829,1.12,1540177042
219,Maralal,KE,1.1,36.7,8,90,286.329,1.37,1540177042
220,Taganak,PH,6.08,118.3,90,94,300.15,2.1,1540173600
221,Tuscaloosa,US,33.21,-87.57,1,75,281.15,1.17,1540173180
222,Bage,NG,10.95,11.38,0,64,293.779,0.72,1540177043
223,Brae,GB,60.4,-1.35,68,81,282.15,12.9,1540174800
224,Caraballeda,VE,10.61,-66.85,75,88,297.15,1.0,1540173600
225,Antofagasta,CL,-23.65,-70.4,90,72,288.15,0.5,1540173600
226,Bethel,US,60.79,-161.76,75,86,277.15,7.7,1540173180
227,Esperance,TT,10.24,-61.45,88,100,298.679,2.37,1540177044
228,Qinhuangdao,CN,39.94,119.59,24,47,290.929,2.82,1540177045
229,Lerwick,GB,60.15,-1.15,64,81,282.15,12.9,1540174800
230,Uyuni,BO,-20.46,-66.82,76,88,278.779,0.32,1540177045
231,Havre-Saint-Pierre,CA,50.23,-63.6,90,64,274.15,4.6,1540173600
232,Wick,GB,51.45,-2.43,0,87,283.15,5.7,1540174800
233,Peleduy,RU,59.63,112.75,88,81,270.579,1.52,1540177045
234,Phan Thiet,VN,10.93,108.1,24,91,302.479,0.27,1540177046
235,Mahebourg,MU,-20.41,57.7,40,78,297.15,3.1,1540173600
236,Sal Rei,CV,16.18,-22.92,75,78,298.15,5.1,1540173600
237,Hami,CN,42.84,93.51,0,55,280.579,3.22,1540177046
238,Hamilton,CA,43.26,-79.87,90,69,278.15,3.1,1540173600
239,Nouadhibou,MR,20.93,-17.03,92,73,296.15,7.2,1540173600
240,Port Alfred,ZA,-33.59,26.89,0,92,289.429,8.87,1540177047
241,Vestmannaeyjar,IS,63.44,-20.27,92,100,278.304,9.27,1540177047
242,Erdenet,MN,49.03,104.04,0,59,274.529,2.57,1540177047
243,Simao,CN,22.76,100.79,88,87,294.804,0.37,1540177047
244,Maloarkhangelsk,RU,52.4,36.5,0,91,273.029,3.42,1540177048
245,Hokitika,NZ,-42.72,170.96,0,91,287.879,3.02,1540177048
246,Klaksvik,FO,62.23,-6.59,80,75,278.15,13.9,1540174800
247,Ugoofaaru,MV,5.67,73.0,36,100,301.754,4.22,1540177048
248,Meylan,FR,45.21,5.78,20,93,280.15,2.6,1540175400
249,Cabo San Lucas,MX,22.89,-109.91,75,78,301.15,1.17,1540172700
250,Cascais,PT,38.7,-9.42,20,87,288.15,1.5,1540175400
251,Letka,BA,43.74,17.27,0,75,280.15,1.5,1540173600
252,Thunder Bay,CA,48.41,-89.26,20,92,270.15,1.5,1540173600
253,San Cristobal,EC,-0.39,-78.55,40,66,285.15,5.1,1540173600
254,Kenai,US,60.55,-151.26,1,66,282.15,4.1,1540173360
255,Itaituba,BR,-4.26,-55.99,12,84,299.529,1.77,1540177050
256,Bowen,AU,-20.01,148.25,75,51,303.15,4.6,1540173600
257,Yima,CN,34.75,111.87,48,74,288.229,2.52,1540177050
258,Luanshya,ZM,-13.14,28.42,68,69,290.504,7.87,1540177050
259,Wum,CM,6.39,10.08,48,97,292.329,1.42,1540177051
260,Touros,BR,-5.2,-35.46,92,92,298.554,3.47,1540177051
261,Shangrao,CN,28.45,117.97,92,100,289.679,1.42,1540177001
262,Caorle,IT,45.6,12.88,0,93,285.15,4.1,1540175400
263,Valparaiso,US,41.47,-87.06,5,42,281.15,2.1,1540176300
264,San Luis,AR,-33.3,-66.34,80,99,288.579,3.57,1540176934
265,Hofn,IS,64.25,-15.21,0,100,278.729,10.87,1540177052
266,Demba,CD,-5.47,22.27,92,100,293.054,0.87,1540177052
